,Age,WorkClass,X1,Education Level,X2,Marital Status,Occupation,X3,Gender,X4,X5,Hours Per Week Working,Native Country
42256,0.38830511896358505,0.25,0.07738415850703634,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.07142857142857142,0.0,0.0,0.0,0.0,0.31668022590953443,0.0
28540,0.27397260273972607,0.25,0.1459114926447617,0.7333333333333333,0.13333333333333336,0.16666666666666666,0.42857142857142855,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
36616,0.2191780821917808,0.25,0.12448282419418372,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.07142857142857142,0.0,0.0,0.04386043860438604,0.0,0.6020408163265305,0.0
63407,0.15753564723710467,1.0,0.9454771348996842,0.4666666666666667,0.9361824118913922,0.0,0.9285714285714285,0.0,1.0,0.2766580681512406,0.33121888379035247,0.3980595164077853,0.7317073170731707
40362,0.2992355650224435,0.25,0.04906176243019379,0.06666666666666667,0.7792261662184501,0.0,0.6428571428571428,0.0,0.0,0.020046613667095814,0.0,0.39795918367346933,0.0
56272,0.5169202074613388,1.0,0.2501514858373873,0.13333333333333333,0.7496759930286544,0.5,0.7857142857142857,0.25,0.0,0.10046931255240621,0.7846824787344244,0.19733647809777474,0.36585365853658536
62844,0.8406589926524275,0.0,0.17829859452647281,0.9333333333333333,0.3630343863447669,0.8333333333333333,1.0,0.0,0.0,0.5356832263833959,0.9213974886866444,0.7087685037280993,0.14634146341463417
58236,0.2679301675116356,0.25,0.2856594436284118,0.4666666666666667,0.6302283209536144,0.16666666666666666,0.7142857142857142,0.0,1.0,0.0,0.0,0.509505139937915,0.24390243902439024
4183,0.13783402583548054,0.75,0.4582529300107275,0.6,0.1813672409137409,1.0,0.5714285714285714,0.75,0.0,0.4719660540721059,0.025683222866759392,0.40500385972047787,0.5365853658536586
61247,0.38565568137088896,0.5,0.9171612236841287,0.7333333333333333,0.771865014289003,0.16666666666666666,0.5714285714285714,0.25,1.0,0.704405283986877,0.6477158220231288,0.93242354994726,0.5121951219512195
66525,0.7647302215637002,0.375,0.46882534601362075,0.4666666666666667,0.16696332323002672,0.3333333333333333,1.0,0.75,0.0,0.6907170147211642,0.8146578382646282,0.49476970922123853,0.5121951219512195
65087,0.6737879019157913,0.375,0.3129370429180647,1.0,0.32692419131260997,0.6666666666666666,0.5714285714285714,0.75,0.0,0.1807654796266075,0.217746196493572,0.46813040179156606,0.0975609756097561
28267,0.26593305705653786,0.375,0.07906798131780404,0.06666666666666667,0.5701092763760606,0.0,0.2857142857142857,0.25,1.0,0.0,0.0,0.3613582976033394,0.0
58399,0.11475796525027526,0.125,0.7450989737797266,0.9333333333333333,0.22780806429933786,1.0,0.9285714285714285,1.0,0.0,0.7731909500480281,0.8923059402316253,0.9733129784523985,0.34146341463414637
52956,0.20178139948565527,0.25,0.03439711495361378,0.06666666666666667,0.5333333333333333,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
6758,0.8699268338778643,0.375,0.4007848632644525,0.0,0.560504080068642,0.0,0.0,0.5,0.0,0.6795722320112262,0.7749816524254471,0.06893716332335131,0.34146341463414637
9658,0.6575342465753424,0.25,0.3105886907268307,0.0,0.8,0.16666666666666666,0.3571428571428571,0.0,0.0,0.0,0.0,0.14285714285714282,0.0
16266,0.2602739726027397,0.25,0.05258893522228712,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.3571428571428571,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
50223,0.34205336810142956,0.625,0.08781599071763278,0.06666666666666667,0.6827325188545067,0.0,0.14285714285714285,0.5,0.0,0.700635872023147,0.3844124747959662,0.6082597905883158,0.926829268292683
55461,0.3835616438356165,0.25,0.04806984420206191,0.0,0.8,0.16666666666666666,0.3571428571428571,0.0,0.0,0.0,0.0,0.5,0.0
47426,0.3753127532664879,0.375,0.09124290885839247,0.4,0.8459213166960523,0.3333333333333333,0.14285714285714285,0.75,1.0,0.9167516018533567,0.5777434430469446,0.19699376528175983,0.29268292682926833
48450,0.12588481860079292,0.25,0.18310408580914073,0.13333333333333333,0.5153242612857307,0.0,0.7142857142857142,0.0,1.0,0.006267936280242267,0.0,0.36164850271501664,0.0
26462,0.1917808219178082,0.25,0.12530595889759716,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.39795918367346933,0.0
57464,0.37979416491173884,0.25,0.1101232617752448,0.3333333333333333,0.5939585496786923,0.16666666666666666,0.42857142857142855,0.0,0.0,0.06636708800414441,0.0,0.4025827425928375,0.0
36510,0.1747538843399759,0.25,0.05572476466138909,0.8,0.6039370754476598,0.0,0.3571428571428571,0.25,1.0,0.012606394678729904,0.0,0.2779206584373426,0.0
36763,0.9079672568878447,0.125,0.6412468541894538,0.4,0.6392684480556471,0.5,0.5,1.0,0.0,0.17217642905424324,0.5626525797166305,0.42896708444546816,0.43902439024390244
38687,0.0273972602739726,0.25,0.14089526086306897,0.3333333333333333,0.6,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.14285714285714282,0.0
35706,0.649053567990298,0.125,0.007213810762525601,0.5333333333333333,0.2114646210501528,0.16666666666666666,0.5714285714285714,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
24788,0.3457150055116413,0.125,0.10802864443138598,0.3333333333333333,0.638140229882509,0.16666666666666666,0.42857142857142855,0.0,0.0,0.004145884447073192,0.0,0.5631222144056031,0.0
45297,0.20726454642842979,0.25,0.037603684932992175,0.2,0.8381649339484701,0.0,0.3571428571428571,0.0,1.0,0.009294507984483736,0.0,0.39795918367346933,0.0
26150,0.5068493150684932,0.25,0.14114858532212277,0.3333333333333333,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2959183673469387,0.0
26159,0.7123287671232876,0.5,0.07509066706510371,0.8,0.3706230485152366,0.16666666666666666,0.07142857142857142,0.0,0.0,0.0,0.0,0.18626740506491768,0.0
44637,0.0821917808219178,0.25,0.24868923269175916,0.3333333333333333,0.6,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.19387755102040813,0.0
64461,0.5616438356164384,0.25,0.09197239917958192,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.07142857142857142,0.0,0.0,0.15024150241502415,0.0,0.6020408163265305,0.0
35593,0.19776887247670627,0.0,0.3650172777240439,0.13333333333333333,0.4071937417960729,0.5,0.7142857142857142,0.75,1.0,0.19303448425604097,0.33338703181326007,0.3563138950175731,0.6341463414634146
43472,0.37464209697827616,0.25,0.10350515079395972,0.4666666666666667,0.6666666666666666,0.16666666666666666,0.42857142857142855,0.0,0.0,0.0,0.0,0.4541199632852328,0.0
48354,0.705116138964577,1.0,0.8308447912514162,0.26666666666666666,0.8732381942796944,0.16666666666666666,0.2857142857142857,0.25,1.0,0.2928364291004706,0.5202481937968798,0.5249879144831855,0.926829268292683
42833,0.0684931506849315,0.375,0.05980630526616047,0.06666666666666667,0.5333333333333333,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.0
58852,0.40113676308738305,0.75,0.10242354938351095,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.42857142857142855,0.0,0.0,0.2858508147310516,0.0,0.43439536659535444,0.0
40356,0.8205441777807365,0.5,0.6809198575958499,1.0,0.5363848688480419,1.0,0.5,0.5,0.0,0.7663272045133411,0.055297881317908915,0.7827304010793475,0.0
30502,0.15881050336696179,0.25,0.1039609529437875,0.4666666666666667,0.6558177798876856,0.0,0.0,0.0,1.0,0.0,0.0,0.40626190314717936,0.0
61041,0.4413250445108014,0.25,0.057099197239917965,0.6,0.860836412464425,0.16666666666666666,0.07142857142857142,0.0,0.0,0.0,0.0,0.5927291205411593,0.0
14808,0.3424657534246575,0.125,0.28784042596541753,0.4,0.7333333333333334,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.5,0.0
43101,0.40273074337201303,0.375,0.9687210698022596,0.8,0.5815009384517448,0.5,0.3571428571428571,1.0,0.0,0.6912451163779468,0.2920273969068795,0.6906436312171121,0.29268292682926833
29149,0.3015262888786037,0.875,0.1345059402930907,0.2,0.9805213005924711,0.5,0.21428571428571427,0.75,1.0,0.0556651700981291,0.2159913234066256,0.8194520067245753,0.7317073170731707
20198,0.8798389590531108,1.0,0.6228150449427693,0.8,0.6369188703577237,0.3333333333333333,0.6428571428571428,1.0,0.0,0.3268494074596948,0.46631053564913694,0.7709091478497573,0.0
6672,0.3422039082129171,0.875,0.9811879877431212,0.2,0.9499297487451677,0.6666666666666666,0.2857142857142857,0.75,0.0,0.5292991828689193,0.054695048542814366,0.8958507969331231,0.14634146341463417
50925,0.0273972602739726,0.25,0.10174338843536491,0.06666666666666667,0.5333333333333333,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
61977,0.2786561342287169,0.25,0.12165496726181751,0.3333333333333333,0.5984804542280162,0.16666666666666666,0.3571428571428571,0.0,1.0,0.07131726641607355,0.0,0.3991221013561099,0.0
7600,0.4246575342465753,0.25,0.1407750505969764,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.42857142857142855,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
34923,0.0821917808219178,0.25,0.07787180288232977,0.0,0.8,0.16666666666666666,0.07142857142857142,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
29317,0.3093141829520883,0.875,0.747612017029262,0.8666666666666667,0.23510847869402507,0.3333333333333333,0.07142857142857142,1.0,1.0,0.5241686423370447,0.6103310673119459,0.8348381625291446,0.12195121951219512
43973,0.0821917808219178,0.25,0.12279444723652219,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.2959183673469387,0.0
52783,0.25337979751525114,0.25,0.6952843617654553,0.26666666666666666,0.24691869393572163,0.0,0.07142857142857142,0.0,1.0,0.6305763033758811,0.42564610116911716,0.7122461454351353,0.975609756097561
7637,0.9359127970243286,0.875,0.8974335857952983,0.6,0.5932294101875926,1.0,0.6428571428571428,0.25,0.0,0.16371077872859238,0.9093510369944663,0.458690784562597,0.6829268292682927
47698,0.5205479452054793,0.5,0.0996611021311854,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.39795918367346933,0.0
59120,0.45791180909579104,0.125,0.11633374025335193,0.06666666666666667,0.5333333333333333,0.16666666666666666,0.5714285714285714,0.0,0.0,0.01099002158387383,0.0,0.44168628044523534,0.0
55650,0.20018266779727972,0.5,0.1208507083576697,0.2,0.6622217502661928,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.4176870025917641,0.0
